Mast_Cells,TPSAB1
Mast_Cells,TPSB2
Mast_Cells,VWA5A
Neutrophils,ALPL
Neutrophils,BST1
Neutrophils,CD93
Neutrophils,CEACAM3
Neutrophils,CREB5
Neutrophils,CRISPLD2
Neutrophils,CSF3R
Neutrophils,CYP4F3
Neutrophils,DYSF
Neutrophils,FCAR
Neutrophils,FCGR3B
Neutrophils,CPPED1
Neutrophils,FPR1
Neutrophils,FPR2
Neutrophils,G0S2
Neutrophils,H2BC4
Neutrophils,HPSE
Neutrophils,CXCR1
Neutrophils,CXCR2
Neutrophils,KCNJ15
Neutrophils,LILRB2
Neutrophils,MGAM
Neutrophils,MME
Neutrophils,PDE4B
Neutrophils,S100A12
Neutrophils,SIGLEC5
Neutrophils,SLC22A4
Neutrophils,SLC25A37
Neutrophils,TECPR2
Neutrophils,TNFRSF10C
Neutrophils,VNN3
NK_CD56_Bright_Cells,DUSP4
NK_CD56_Bright_Cells,FOXJ1
NK_CD56_Bright_Cells,LPCAT4
NK_CD56_Bright_Cells,MADD
NK_CD56_Bright_Cells,MARCHF6
NK_CD56_Bright_Cells,MPPED1
NK_CD56_Bright_Cells,MUC3B
NK_CD56_Bright_Cells,TRAPPC9
NK_CD56_Bright_Cells,PLA2G6
NK_CD56_Bright_Cells,RRAD
NK_CD56_Bright_Cells,XCL1
NK_CD56_Dim_Cells,S1PR5
NK_CD56_Dim_Cells,TTC38
NK_CD56_Dim_Cells,GTF3C1
NK_CD56_Dim_Cells,GZMB
NK_CD56_Dim_Cells,IL21R
NK_CD56_Dim_Cells,KIR2DL3
NK_CD56_Dim_Cells,KIR2DS1
NK_CD56_Dim_Cells,KIR2DS2
NK_CD56_Dim_Cells,KIR2DS5
NK_CD56_Dim_Cells,KIR3DL1
NK_CD56_Dim_Cells,KIR3DL2
NK_CD56_Dim_Cells,KIR3DL3
NK_CD56_Dim_Cells,KIR3DS1
NK_CD56_Dim_Cells,SPON2
NK_CD56_Dim_Cells,PMEPA1
NK_Cells,ADARB1
NK_Cells,GNAS
NK_Cells,ALDH1B1
NK_Cells,APBB2
NK_Cells,ATL2
NK_Cells,BCL2
NK_Cells,CDC5L
NK_Cells,FGF18
NK_Cells,FUT5
NK_Cells,FZR1
NK_Cells,GAGE2A
NK_Cells,IGFBP5
NK_Cells,KANK2
NK_Cells,LDB3
NK_Cells,MAPRE3
NK_Cells,MCM3AP
NK_Cells,MRC2
NK_Cells,NCR1
NK_Cells,PDLIM4
NK_Cells,PRX
NK_Cells,PSMD4
NK_Cells,AD7C-NTP
NK_Cells,SGMS1
NK_Cells,SLC30A5
NK_Cells,PPP4R3A
NK_Cells,SPN
NK_Cells,TBXA2R
NK_Cells,TCTN2
NK_Cells,TINAGL1
NK_Cells,TRPV6
NK_Cells,XCL1
NK_Cells,XCL2
NK_Cells,ZNF205
NK_Cells,ZNF528
NK_Cells,ZNF747
pDC,IL3RA
T_Cells,BCL11B
T_Cells,CD2
T_Cells,CD28
